,test_size,C,accuracy,precision,recall,f1_score
0,0.05,10.0,0.8076923076923077,0.7741935483870968,0.8888888888888888,0.8275862068965517
1,0.05,100.0,0.8076923076923077,0.7741935483870968,0.8888888888888888,0.8275862068965517
2,0.05,200.0,0.8076923076923077,0.7741935483870968,0.8888888888888888,0.8275862068965517
3,0.1,10.0,0.8446601941747572,0.8,0.9230769230769231,0.8571428571428571
4,0.1,100.0,0.8446601941747572,0.8,0.9230769230769231,0.8571428571428571
5,0.1,200.0,0.8446601941747572,0.8,0.9230769230769231,0.8571428571428571
6,0.3,10.0,0.8214285714285714,0.7584269662921348,0.9183673469387755,0.8307692307692308
7,0.3,100.0,0.8214285714285714,0.7584269662921348,0.9183673469387755,0.8307692307692308
8,0.3,200.0,0.8214285714285714,0.7584269662921348,0.9183673469387755,0.8307692307692308
9,0.5,10.0,0.8304093567251462,0.7916666666666666,0.8941176470588236,0.839779005524862
10,0.5,100.0,0.8304093567251462,0.7916666666666666,0.8941176470588236,0.839779005524862
11,0.5,200.0,0.8304093567251462,0.7916666666666666,0.8941176470588236,0.839779005524862
12,0.7,10.0,0.8175487465181058,0.8052631578947368,0.8429752066115702,0.8236877523553162
13,0.7,100.0,0.8091922005571031,0.8021390374331551,0.8264462809917356,0.814111261872456
14,0.7,200.0,0.8091922005571031,0.8021390374331551,0.8264462809917356,0.814111261872456
15,0.9,10.0,0.8244853737811484,0.8007662835249042,0.8781512605042017,0.8376753507014028
16,0.9,100.0,0.8212351029252438,0.7973231357552581,0.8760504201680672,0.8348348348348348
17,0.9,200.0,0.8212351029252438,0.7973231357552581,0.8760504201680672,0.8348348348348348
