,test_size,max_depth,accuracy,precision,recall,f1_score
0,0.05,5.0,0.9038461538461539,0.8666666666666667,0.9629629629629629,0.912280701754386
1,0.05,10.0,1.0,1.0,1.0,1.0
2,0.05,50.0,1.0,1.0,1.0,1.0
3,0.05,100.0,1.0,1.0,1.0,1.0
4,0.1,5.0,0.9029126213592233,0.85,0.9807692307692307,0.9107142857142857
5,0.1,10.0,1.0,1.0,1.0,1.0
6,0.1,50.0,1.0,1.0,1.0,1.0
7,0.1,100.0,1.0,1.0,1.0,1.0
8,0.3,5.0,0.8863636363636364,0.8414634146341463,0.9387755102040817,0.887459807073955
9,0.3,10.0,0.9902597402597403,1.0,0.9795918367346939,0.9896907216494846
10,0.3,50.0,0.9902597402597403,1.0,0.9795918367346939,0.9896907216494846
11,0.3,100.0,0.9902597402597403,1.0,0.9795918367346939,0.9896907216494846
12,0.5,5.0,0.8518518518518519,0.8776371308016878,0.8156862745098039,0.8455284552845528
13,0.5,10.0,0.9298245614035088,0.9101123595505618,0.9529411764705882,0.9310344827586207
14,0.5,50.0,0.9473684210526315,0.9418604651162791,0.9529411764705882,0.9473684210526314
15,0.5,100.0,0.9415204678362573,0.9310344827586207,0.9529411764705882,0.941860465116279
16,0.7,5.0,0.8231197771587744,0.7906403940886699,0.8842975206611571,0.8348504551365411
17,0.7,10.0,0.8454038997214485,0.8480662983425414,0.8457300275482094,0.846896551724138
18,0.7,50.0,0.8607242339832869,0.8704225352112676,0.8512396694214877,0.8607242339832869
19,0.7,100.0,0.8579387186629527,0.8575342465753425,0.8622589531680441,0.8598901098901099
20,0.9,5.0,0.8017334777898159,0.839907192575406,0.7605042016806722,0.7982359426681367
21,0.9,10.0,0.789815817984832,0.823394495412844,0.7542016806722689,0.787280701754386
22,0.9,50.0,0.8060671722643553,0.8152866242038217,0.8067226890756303,0.8109820485744457
23,0.9,100.0,0.8017334777898159,0.8137044967880086,0.7983193277310925,0.8059384941675504
