,test_size,C,accuracy,precision,recall,f1_score
0,0.05,1.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
1,0.05,10.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
2,0.05,100.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
3,0.1,1.0,0.8349514563106796,0.7692307692307693,0.9615384615384616,0.8547008547008548
4,0.1,10.0,0.8349514563106796,0.7692307692307693,0.9615384615384616,0.8547008547008548
5,0.1,100.0,0.8349514563106796,0.7692307692307693,0.9615384615384616,0.8547008547008548
6,0.3,1.0,0.8116883116883117,0.7431693989071039,0.9251700680272109,0.8242424242424242
7,0.3,10.0,0.8181818181818182,0.7513812154696132,0.9251700680272109,0.8292682926829269
8,0.3,100.0,0.8116883116883117,0.7431693989071039,0.9251700680272109,0.8242424242424242
9,0.5,1.0,0.834307992202729,0.7871621621621622,0.9137254901960784,0.8457350272232305
10,0.5,10.0,0.8382066276803118,0.7986111111111112,0.9019607843137255,0.847145488029466
11,0.5,100.0,0.8382066276803118,0.7986111111111112,0.9019607843137255,0.847145488029466
12,0.7,1.0,0.8342618384401114,0.8144329896907216,0.8705234159779615,0.8415446071904127
13,0.7,10.0,0.83008356545961,0.8213333333333334,0.8484848484848485,0.8346883468834688
14,0.7,100.0,0.8342618384401114,0.8227513227513228,0.8567493112947658,0.8394062078272606
15,0.9,1.0,0.8082340195016251,0.7763401109057301,0.8823529411764706,0.8259587020648966
16,0.9,10.0,0.8028169014084507,0.7742537313432836,0.8718487394957983,0.8201581027667985
17,0.9,100.0,0.7984832069339112,0.7767175572519084,0.8550420168067226,0.814
