,test_size,accuracy,precision,recall,f1_score
0,0.05,1.0,1.0,1.0,1.0
1,0.1,0.9805825242718447,1.0,0.9615384615384616,0.9803921568627451
2,0.3,0.9577922077922078,1.0,0.9115646258503401,0.9537366548042704
3,0.5,0.8693957115009746,0.9563106796116505,0.7725490196078432,0.8546637744034706
4,0.7,0.8050139275766016,0.86084142394822,0.7327823691460055,0.7916666666666667
5,0.9,0.7291440953412784,0.897887323943662,0.5357142857142857,0.6710526315789475
