,test_size,hidden_layers,max_iteration,accuracy,precision,recall,f1_score
0,0.05,10.0,200.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
1,0.05,10.0,500.0,0.8269230769230769,0.78125,0.9259259259259259,0.847457627118644
2,0.05,10.0,1000.0,0.9230769230769231,0.896551724137931,0.9629629629629629,0.9285714285714286
3,0.05,50.0,200.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
4,0.05,50.0,500.0,0.8846153846153846,0.8387096774193549,0.9629629629629629,0.896551724137931
5,0.05,50.0,1000.0,1.0,1.0,1.0,1.0
6,0.05,100.0,200.0,0.8461538461538461,0.7878787878787878,0.9629629629629629,0.8666666666666665
7,0.05,100.0,500.0,0.9423076923076923,0.9,1.0,0.9473684210526316
8,0.05,100.0,1000.0,1.0,1.0,1.0,1.0
9,0.05,200.0,200.0,0.8846153846153846,0.8387096774193549,0.9629629629629629,0.896551724137931
10,0.05,200.0,500.0,1.0,1.0,1.0,1.0
11,0.05,200.0,1000.0,1.0,1.0,1.0,1.0
12,0.1,10.0,200.0,0.8446601941747572,0.7903225806451613,0.9423076923076923,0.8596491228070176
13,0.1,10.0,500.0,0.8640776699029126,0.796875,0.9807692307692307,0.8793103448275861
14,0.1,10.0,1000.0,0.883495145631068,0.8571428571428571,0.9230769230769231,0.888888888888889
15,0.1,50.0,200.0,0.883495145631068,0.8225806451612904,0.9807692307692307,0.8947368421052632
16,0.1,50.0,500.0,0.941747572815534,0.896551724137931,1.0,0.9454545454545454
17,0.1,50.0,1000.0,1.0,1.0,1.0,1.0
18,0.1,100.0,200.0,0.912621359223301,0.864406779661017,0.9807692307692307,0.918918918918919
19,0.1,100.0,500.0,0.9902912621359223,1.0,0.9807692307692307,0.9902912621359222
20,0.1,100.0,1000.0,1.0,1.0,1.0,1.0
21,0.1,200.0,200.0,0.912621359223301,0.864406779661017,0.9807692307692307,0.918918918918919
22,0.1,200.0,500.0,1.0,1.0,1.0,1.0
23,0.1,200.0,1000.0,1.0,1.0,1.0,1.0
24,0.3,10.0,200.0,0.8344155844155844,0.7727272727272727,0.9251700680272109,0.8421052631578948
25,0.3,10.0,500.0,0.8311688311688312,0.7777777777777778,0.9047619047619048,0.8364779874213837
26,0.3,10.0,1000.0,0.8603896103896104,0.825,0.8979591836734694,0.8599348534201955
27,0.3,50.0,200.0,0.8409090909090909,0.7752808988764045,0.9387755102040817,0.8492307692307692
28,0.3,50.0,500.0,0.9253246753246753,0.8780487804878049,0.9795918367346939,0.9260450160771704
29,0.3,50.0,1000.0,0.9675324675324676,0.9363057324840764,1.0,0.9671052631578947
30,0.3,100.0,200.0,0.8538961038961039,0.8035714285714286,0.9183673469387755,0.8571428571428571
31,0.3,100.0,500.0,0.9383116883116883,0.8950617283950617,0.9863945578231292,0.9385113268608414
32,0.3,100.0,1000.0,0.9772727272727273,0.972972972972973,0.9795918367346939,0.976271186440678
33,0.3,200.0,200.0,0.9058441558441559,0.8641975308641975,0.9523809523809523,0.9061488673139158
34,0.3,200.0,500.0,0.9675324675324676,0.9536423841059603,0.9795918367346939,0.9664429530201342
35,0.3,200.0,1000.0,0.9772727272727273,0.972972972972973,0.9795918367346939,0.976271186440678
36,0.5,10.0,200.0,0.8304093567251462,0.8043478260869565,0.8705882352941177,0.8361581920903954
37,0.5,10.0,500.0,0.8382066276803118,0.8071428571428572,0.8862745098039215,0.8448598130841122
38,0.5,10.0,1000.0,0.8674463937621832,0.850187265917603,0.8901960784313725,0.8697318007662835
39,0.5,50.0,200.0,0.8518518518518519,0.8231046931407943,0.8941176470588236,0.8571428571428571
40,0.5,50.0,500.0,0.884990253411306,0.855072463768116,0.9254901960784314,0.888888888888889
41,0.5,50.0,1000.0,0.9083820662768031,0.8851851851851852,0.9372549019607843,0.9104761904761905
42,0.5,100.0,200.0,0.8460038986354775,0.8165467625899281,0.8901960784313725,0.8517823639774859
43,0.5,100.0,500.0,0.9103313840155945,0.8772563176895307,0.9529411764705882,0.9135338345864661
44,0.5,100.0,1000.0,0.9512670565302144,0.9291044776119403,0.9764705882352941,0.9521988527724665
45,0.5,200.0,200.0,0.8810916179337231,0.8540145985401459,0.9176470588235294,0.88468809073724
46,0.5,200.0,500.0,0.9239766081871345,0.9,0.9529411764705882,0.9257142857142857
47,0.5,200.0,1000.0,0.9395711500974658,0.917910447761194,0.9647058823529412,0.9407265774378585
48,0.7,10.0,200.0,0.8022284122562674,0.8010899182561307,0.8099173553719008,0.8054794520547944
49,0.7,10.0,500.0,0.83008356545961,0.814621409921671,0.859504132231405,0.8364611260053619
50,0.7,10.0,1000.0,0.83008356545961,0.8283378746594006,0.837465564738292,0.8328767123287671
51,0.7,50.0,200.0,0.8314763231197771,0.8102564102564103,0.8705234159779615,0.8393094289508631
52,0.7,50.0,500.0,0.8440111420612814,0.8438356164383561,0.8484848484848485,0.8461538461538461
53,0.7,50.0,1000.0,0.8746518105849582,0.8802228412256268,0.8705234159779615,0.8753462603878117
54,0.7,100.0,200.0,0.8272980501392758,0.8186666666666667,0.8457300275482094,0.8319783197831978
55,0.7,100.0,500.0,0.8593314763231198,0.8679775280898876,0.8512396694214877,0.8595271210013908
56,0.7,100.0,1000.0,0.8746518105849582,0.8802228412256268,0.8705234159779615,0.8753462603878117
57,0.7,200.0,200.0,0.8426183844011143,0.8342245989304813,0.859504132231405,0.8466757123473542
58,0.7,200.0,500.0,0.862116991643454,0.8815028901734104,0.8402203856749312,0.8603667136812412
59,0.7,200.0,1000.0,0.8746518105849582,0.8719346049046321,0.8815426997245179,0.8767123287671234
60,0.9,10.0,200.0,0.7833152762730228,0.7793522267206477,0.8088235294117647,0.7938144329896908
61,0.9,10.0,500.0,0.847237269772481,0.819047619047619,0.9033613445378151,0.859140859140859
62,0.9,10.0,1000.0,0.8255687973997833,0.8207739307535642,0.8466386554621849,0.8335056876938987
63,0.9,50.0,200.0,0.8450704225352113,0.831013916500994,0.8781512605042017,0.8539325842696629
64,0.9,50.0,500.0,0.8017334777898159,0.8123667377398721,0.8004201680672269,0.8063492063492064
65,0.9,50.0,1000.0,0.7984832069339112,0.8165938864628821,0.7857142857142857,0.8008565310492505
66,0.9,100.0,200.0,0.819068255687974,0.8071570576540755,0.8529411764705882,0.8294177732379979
67,0.9,100.0,500.0,0.819068255687974,0.8280254777070064,0.819327731092437,0.8236536430834213
68,0.9,100.0,1000.0,0.8049837486457205,0.8148936170212766,0.8046218487394958,0.8097251585623679
69,0.9,200.0,200.0,0.8136511375947996,0.8076923076923077,0.8382352941176471,0.8226804123711341
70,0.9,200.0,500.0,0.8234019501625135,0.8351177730192719,0.819327731092437,0.8271474019088018
71,0.9,200.0,1000.0,0.8114842903575298,0.8199152542372882,0.8130252100840336,0.8164556962025317
